"","Variable","Importance"
"123","SH.IMM.MEAS",2.38204425462829
"124","SH.STA.BASS.ZS",2.35124594563373
"125","SH.STA.BRTW.ZS",2.34922125056431
"126","SH.H2O.BASW.UR.ZS",2.34500748880942
"127","SL.UEM.TOTL.MA.ZS",2.33847606311351
"128","SP.DYN.LE00.IN",2.32742931004975
"129","SH.IMM.IDPT",2.31953396508165
"130","calory_index",2.31508576114121
"131","SE.PRM.OENR.ZS",2.30132642818336
"132","SE.PRM.REPT.FE.ZS",2.29395601599391
"133","SP.POP.2024.MA.5Y",2.24248166440398
"134","SP.POP.2024.FE.5Y",2.21964948057368
"135","SE.SEC.ENRR",2.21811917593701
"136","SE.SEC.TCHR.FE.ZS",2.2172073085806
"137","SE.PRM.GINT.ZS",2.20969280063136
"138","SP.POP.DPND",2.20111537494741
"139","SE.PRM.CMPT.FE.ZS",2.1555133888322
"140","SE.XPD.TERT.ZS",2.13331398841714
"141","SH.HIV.INCD.TL.P3",2.11339990568881
"142","SE.PRE.ENRR.MA",2.08848068518235
"143","SP.POP.3539.FE.5Y",2.08239141046719
"144","SE.PRM.CMPT.MA.ZS",2.08029519257916
"145","SP.POP.3034.MA.5Y",2.05508127854096
"146","SP.POP.2529.MA.5Y",2.03647327609573
"147","SP.DYN.AMRT.FE",2.02044561516268
"148","SP.POP.4044.FE.5Y",2.017677856349
"149","SH.STA.BRTC.ZS",2.01478638731336
"150","SP.POP.1519.MA.5Y",2.00322128025099
"151","SP.POP.3539.MA.5Y",1.93189026563948
"152","SP.POP.2529.FE.5Y",1.92398331514512
"153","SE.PRM.OENR.MA.ZS",1.87763396955074
"154","SE.PRM.ENRL.TC.ZS",1.8536020066001
"155","SE.PRM.PRSL.MA.ZS",1.81973328516556
"156","SH.DYN.NMRT",1.81965604473416
"157","SE.PRM.UNER.ZS",1.810510946555
"158","SH.IMM.HEPB",1.79241635150439
"159","SE.PRM.PRSL.FE.ZS",1.79205972250741
"160","SE.PRM.TENR",1.77069606357064
"161","protein_index",1.73629776153717
"162","SE.SEC.CMPT.LO.FE.ZS",1.70071594109243
"163","SP.POP.4044.MA.5Y",1.68798217524703
"164","SH.STA.ODFC.RU.ZS",1.63056970808692
"165","SE.PRM.PRSL.ZS",1.59961642644012
"166","SE.ENR.PRIM.FM.ZS",1.58872248815537
"167","SH.TBS.DTEC.ZS",1.51916072466778
"168","SP.DYN.IMRT.MA.IN",1.4944282931479
"169","SP.DYN.IMRT.IN",1.4712916631675
"170","SH.HIV.INCD.YG",1.44820154156566
"171","SE.PRM.DURS",1.44218954988898
"172","SH.DYN.1519",1.40496594996477
"173","SE.PRM.NENR",1.37209160275305
"174","SE.PRM.OENR.FE.ZS",1.37175767228284
"175","SH.HIV.INCD.TL",1.3610560490804
"176","SH.DYN.MORT",1.32728753908159
"177","SP.POP.80UP.MA.5Y",1.28691346850303
"178","SE.PRE.DURS",1.22806371385638
"179","SH.HIV.INCD.ZS",1.21563727640235
"180","SP.DYN.IMRT.FE.IN",1.16262132500705
"181","SH.PRG.ANEM",1.14871196861301
"182","SP.POP.4549.MA.5Y",1.08694076344316
"183","SH.DYN.MORT.MA",1.05926514838039
"184","SH.DYN.AIDS.ZS",1.03057575815856
"185","SH.STA.ODFC.UR.ZS",1.02745788549842
"186","SN.ITK.DEFC.ZS",1.01615012730094
"187","SE.COM.DURS",0.961582672350797
"188","SH.DYN.1014",0.928406081169605
"189","SH.DYN.MORT.FE",0.85905027035182
"190","SH.XPD.EHEX.CH.ZS",0.855309692427687
"191","SE.SEC.DURS",0.699277431120624
"192","SH.DYN.0509",0.688935210055968
"193","SH.HIV.1524.MA.ZS",0.644013108469206
"194","SE.SEC.AGES",0.535460495197617
"195","primary_edu_duration_index",0.389682472887618
"196","SE.PRM.AGES",0.369792758214829
"197","SH.HIV.1524.FE.ZS",0.243581284188122
"198","entrance_age_index",0.240188121943641
